"X" "Y" "Heat_flow"
10.9825448567111 44.5126117926123 38
10.9961566042628 44.501778389002 38
10.8980965455848 44.5709454474015 43
10.8844854940091 44.511777951033 38
10.9267086775136 44.5803901590484 47
10.9272642823486 44.5776123483075 31
10.9361531308563 44.6165017839215 34
10.9917114745336 44.5537234782748 43
11.091436702824 44.6434473597289 40
11.1186604857171 44.5926135055203 32
11.0639357710889 44.6290025905676 39
11.0358798510227 44.5548348262207 52
11.0081006483047 44.5895573558764 50
11.0436577871297 44.5695572770971 32
11.0603254631909 44.5328902222948 38
11.0917156968066 44.5203902188656 52
11.1117165243872 44.5153902545489 54
11.0692137931499 44.6251136778814 34
11.2225542278635 44.5098351778048 34
11.1294941385795 44.6031692513794 36
11.2895011708997 44.5212245425405 32
11.4814520812335 44.6290046447308 47
11.4814520812335 44.6290046447308 61
11.4728403178204 44.6623383687082 40
11.3931150379317 44.6559490106056 34
11.4878412015254 44.6309491451563 43
11.477840923504 44.6190044978341 43
11.4711740645816 44.6117821499877 34
11.4489507184873 44.6387268359578 52
11.4814520812335 44.6290046447308 47
11.4953414947613 44.6309491812811 41
11.4958971375969 44.6240046495666 56
11.4958971375969 44.6240046495666 41
11.4958971375969 44.6240046495666 45
11.4814520812335 44.6290046447308 61
11.4803409214305 44.629560202125 45
11.4817298646186 44.6295602088216 45
11.4817298646186 44.6295602088216 59
11.4817298646186 44.6295602088216 63
11.4817298646186 44.6295602088216 59
11.4981195226963 44.6159490004196 47
11.4981195226963 44.6159490004196 47
11.4981195226963 44.6159490004196 47
11.4981195226963 44.6159490004196 47
11.4822854812816 44.6253934908695 40
11.4822854812816 44.6253934908695 40
11.4822854812816 44.6253934908695 40
11.4822854812816 44.6253934908695 40
11.4822854839072 44.6251157094945 40
11.4822854812816 44.6253934908695 40
11.495619354204 44.6234490854799 43
11.495619354204 44.6234490854799 43
11.495619354204 44.6234490854799 43
11.495619354204 44.6234490854799 43
11.4972861541715 44.6162267777819 37
11.4972861541715 44.6162267777819 41
11.4972861541715 44.6162267777819 37
11.4972861541715 44.6162267777819 36
11.4972861541715 44.6162267777819 37
11.4972861541715 44.6162267777819 41
11.4972861541715 44.6162267777819 37
11.4972861541715 44.6162267777819 36
11.5003417924737 44.6201157317165 41
11.5433986916876 44.6562275176798 58
11.563956263425 44.5267814983522 32
11.6239581967056 44.5706712389902 34
11.5720115650733 44.5876156548967 32
11.5661779232413 44.5962268494569 32
11.5700671797386 44.5731710145658 32
11.5331210082353 44.6034490068287 32
11.4997862335443 44.6181712594267 43
11.5108977737331 44.6187268756128 39
11.5211760761281 44.6056712004817 34
11.5003417846126 44.6209490758388 45
11.5003417846126 44.6209490758388 45
11.5000640012174 44.6203935117539 43
11.5000640012174 44.6203935117539 43
11.5000640012174 44.6203935117539 41
11.5000640012174 44.6203935117539 41
11.5000640012174 44.6203935117539 43
11.8181320977057 44.6092837632043 45
11.8892460792735 44.5995617452776 45
11.9520270498393 44.5176165315745 54
